lot_id,lot_number,acres,status,builder_name,builder_short,builder_contact,builder_address,builder_phone,builder_email,builder_color,builder_border
1,1,1.1586,available,,,,,,,,
2,2,0.9848,available,Pinnacle Home Builders & Construction Company Inc.,Pinnacle,Mike & Renee McNally,"210 Barn Hill Ln, Wake Forest, NC 27587",919-291-7000,mcnallyspinnacle@aol.com,#887b66,#6b6050
3,3,0.9757,available,Colebrooke Custom Homes,Colebrooke,Dustin & Lauren Moore,"848 Cooke Rd, Louisburg, NC 27549",(919) 697-7308,dustin.colebrookehomes@gmail.com,#b3a186,#94815f
4,4,0.9192,available,JW2 Building Co.,JW2 Building,Jon Ward,"3316 Thomas Rd., Raleigh, NC 27607",919-280-2107,jon@jw2buildingcompany.com,#899988,#6d7d6c
5,5,0.9239,reserved,,,,,,,,
6,6,0.919,available,Pinnacle Home Builders & Construction Company Inc.,Pinnacle,Mike & Renee McNally,"210 Barn Hill Ln, Wake Forest, NC 27587",919-291-7000,mcnallyspinnacle@aol.com,#887b66,#6b6050
7,7,0.9251,available,Homes by Thadd Roberts Inc.,Thadd Roberts,Thadd Roberts,"8305 Six Forks Rd #203, Raleigh, NC 27615",919-669-7875,thaddroberts1@gmail.com,#4b675e,#38504a
8,8,0.9198,sold,Colebrooke Custom Homes,Colebrooke,Dustin & Lauren Moore,"848 Cooke Rd, Louisburg, NC 27549",(919) 697-7308,dustin.colebrookehomes@gmail.com,#b3a186,#94815f
9,9,0.927,available,JW2 Building Co.,JW2 Building,Jon Ward,"3316 Thomas Rd., Raleigh, NC 27607",919-280-2107,jon@jw2buildingcompany.com,#899988,#6d7d6c
10,10,0.9255,available,Homes by Thadd Roberts Inc.,Thadd Roberts,Thadd Roberts,"8305 Six Forks Rd #203, Raleigh, NC 27615",919-669-7875,thaddroberts1@gmail.com,#4b675e,#38504a
11,11,0.9194,available,Lilium Homes,Lilium Homes,Juana Martinez,"5 W Mason St., Franklinton, NC 27525",336-823-4342,jmartinez@Lilium-homes.com,#885138,#6a3e2a
12,12,0.9183,available,Homes by Thadd Roberts Inc.,Thadd Roberts,Thadd Roberts,"8305 Six Forks Rd #203, Raleigh, NC 27615",919-669-7875,thaddroberts1@gmail.com,#4b675e,#38504a
13,13,0.9183,available,Pinnacle Home Builders & Construction Company Inc.,Pinnacle,Mike & Renee McNally,"210 Barn Hill Ln, Wake Forest, NC 27587",919-291-7000,mcnallyspinnacle@aol.com,#887b66,#6b6050
14,14,1.0056,available,Lilium Homes,Lilium Homes,Juana Martinez,"5 W Mason St., Franklinton, NC 27525",336-823-4342,jmartinez@Lilium-homes.com,#885138,#6a3e2a
15,15,0.9935,available,JW2 Building Co.,JW2 Building,Jon Ward,"3316 Thomas Rd., Raleigh, NC 27607",919-280-2107,jon@jw2buildingcompany.com,#899988,#6d7d6c
16,16,0.9935,available,Colebrooke Custom Homes,Colebrooke,Dustin & Lauren Moore,"848 Cooke Rd, Louisburg, NC 27549",(919) 697-7308,dustin.colebrookehomes@gmail.com,#b3a186,#94815f
17,17,0.9218,available,Lilium Homes,Lilium Homes,Juana Martinez,"5 W Mason St., Franklinton, NC 27525",336-823-4342,jmartinez@Lilium-homes.com,#885138,#6a3e2a
18,18,1.4563,available,,,,,,,,
a,A,1.1649,available,,,,,,,,
b,B,1.2244,available,,,,,,,,
